pct.exp,features.plot,id,avg.exp.scaled
0,WT1,NC,-0.588748741
22.04301075,DDR2,NC,-0.31375376
11.99799197,MYH7,Endo1,-0.499300815
3.614457831,MYH6,Endo1,-0.405334614
18.22289157,NPPA,Endo1,-0.457911363
0.200803213,HAND1,Endo1,-0.320257821
20.13052209,MYL2,Endo1,-0.378248542
9.136546185,GJA5,Endo1,-0.279823042
2.309236948,TBX5,Endo1,-0.430481471
24.09638554,MYL4,Endo1,-0.507963508
16.51606426,MYL3,Endo1,-0.489739046
0.301204819,MYOCD,Endo1,-0.601825422
2.710843373,MYBPC3,Endo1,-0.458065934
69.87951807,CDH5,Endo1,0.71094811
82.37951807,PECAM1,Endo1,0.982930401
13.05220884,APLNR,Endo1,-0.234064519
39.90963855,SOX17,Endo1,0.860951435
42.82128514,KDR,Endo1,0.447739532
14.55823293,DLL4,Endo1,0.411413994
60.74297189,FLT1,Endo1,1.246280229
25.35140562,ROBO4,Endo1,0.070207452
5.220883534,RGCC,Endo1,-0.658925564
56.1746988,NRP2,Endo1,0.629936621
52.30923695,TGFB1,Endo1,1.295002537
8.684738956,FABP4,Endo1,-0.617608673
25.75301205,NFATC1,Endo1,1.090469037
92.41967871,CDH11,Endo1,2.455239635
0.15060241,KLF1,Endo1,-0.429809493
13.80522088,TAL1,Endo1,1.050562663
99.54819277,VIM,Endo1,0.621953954
96.23493976,COL3A1,Endo1,1.230795526
43.37349398,COL1A1,Endo1,-0.646514406
1.5562249,RSPO3,Endo1,-0.561050635
13.50401606,MFAP4,Endo1,-0.684810591
29.46787149,TAGLN,Endo1,-0.68909115
32.47991968,PDGFRB,Endo1,-0.01990883
6.726907631,MYH11,Endo1,-0.274033762
9.738955823,ACTA2,Endo1,-0.919469799
8.082329317,DCN,Endo1,-0.827674745
8.082329317,LUM,Endo1,-0.451025811
1.154618474,TBX18,Endo1,-0.59624923
1.606425703,TCF21,Endo1,-0.644604008
4.869477912,WT1,Endo1,-0.228541793
18.37349398,DDR2,Endo1,-0.701185823
55.91182365,MYH7,aCM,1.3565126
95.19038076,MYH6,aCM,2.5
96.19238477,NPPA,aCM,2.5
2.004008016,HAND1,aCM,-0.065812606
30.66132265,MYL2,aCM,0.459844346
63.52705411,GJA5,aCM,2.441613978
78.95791583,TBX5,aCM,2.5
94.18837675,MYL4,aCM,2.079357449
48.09619238,MYL3,aCM,1.06966508
71.94388778,MYOCD,aCM,2.5
87.7755511,MYBPC3,aCM,2.477799392
0.200400802,CDH5,aCM,-0.706867945
0.400801603,PECAM1,aCM,-0.723793764
0.200400802,APLNR,aCM,-0.628525177
0,SOX17,aCM,-0.531926315
3.607214429,KDR,aCM,-0.584008066
0,DLL4,aCM,-0.576320446
2.004008016,FLT1,aCM,-0.610764587
0.601202405,ROBO4,aCM,-0.660095759
1.803607214,RGCC,aCM,-0.73275223
14.42885772,NRP2,aCM,-0.430867691
1.603206413,TGFB1,aCM,-1.042672571
0.801603206,FABP4,aCM,-0.750201926
1.20240481,NFATC1,aCM,-0.756789239
11.62324649,CDH11,aCM,-0.780890356
1.803607214,KLF1,aCM,0.558819417
0,TAL1,aCM,-0.826177446
70.74148297,VIM,aCM,-2.5
26.65330661,COL3A1,aCM,-1.176608472
43.48697395,COL1A1,aCM,-0.732003897
3.406813627,RSPO3,aCM,-0.227713974
17.63527054,MFAP4,aCM,-0.543214425
46.69338677,TAGLN,aCM,-0.172492897
4.208416834,PDGFRB,aCM,-0.72027492
3.80761523,MYH11,aCM,-0.22990768
51.50300601,ACTA2,aCM,0.131448633
14.62925852,DCN,aCM,-0.694811453
8.016032064,LUM,aCM,-0.490477308
4.609218437,TBX18,aCM,-0.229183774
4.609218437,TCF21,aCM,-0.506780325
0.601202405,WT1,aCM,-0.541409568
14.82965932,DDR2,aCM,-0.296298672
9.523809524,MYH7,aEC,-0.220507321
3.80952381,MYH6,aEC,-0.237817598
12.06349206,NPPA,aEC,-0.419724693
0,HAND1,aEC,-0.343793381
15.87301587,MYL2,aEC,-0.416947699
37.46031746,GJA5,aEC,2.014924854
0.634920635,TBX5,aEC,-0.440093062
17.77777778,MYL4,aEC,-0.570252448
14.6031746,MYL3,aEC,-0.431627369
1.587301587,MYOCD,aEC,-0.531684379
4.126984127,MYBPC3,aEC,-0.384898781
93.01587302,CDH5,aEC,1.742538356
91.74603175,PECAM1,aEC,1.435032385
43.49206349,APLNR,aEC,0.578998056
75.55555556,SOX17,aEC,2.5
84.12698413,KDR,aEC,1.73420146
